COUNTRY,2020,2021,2022,2023,2024,Trend (%) 2020 -  2024,Perub (%) 2024 -  2023,Peran (%) 2024,Jan-Mei,Jan-Mei.1,Perub (%) 2025/  2024,Peran (%) 2025
REPUBLIC OF CHINA,29936.4,51088.9,63461.7,62431.6,60520.8,17.45,-3.06,24.15,22377.6,24253.1,8.38,22.87
UNITED STATES,18622.4,25792.8,28182.7,23255.7,26538.2,6.24,14.11,10.59,10246.3,12112,18.21,11.42
INDIA,10179,13112.6,23285.7,20288,20369.3,20.01,0.4,8.13,8851.3,7283.2,-17.72,6.87
JAPAN,12885.3,16894.3,23199.4,18885.9,18594.6,8.82,-1.54,7.42,7815.1,5849.3,-25.15,5.52
MALAYSIA,6970.2,10634.6,13574.2,10641.4,10803.9,9.17,1.53,4.31,4282.4,4946.3,15.5,4.66
PHILIPPINES,5858.5,8601.9,12900.9,11036.7,10642.4,15.52,-3.57,4.25,4141.1,4247.7,2.57,4.01
VIETNAM,4927.2,6740.3,8445.8,7490.9,9391.1,14.98,25.37,3.75,3401.2,4446,30.72,4.19
SOUTH KOREA,5609.5,7958,10651.9,8604.4,9126.1,11.09,6.06,3.64,3804.9,3577.5,-5.97,3.37
SINGAPORE,8533.3,8083.3,9730,8348.5,7514.6,-2.2,-9.99,3,2836,3696.8,30.35,3.49
TAIWAN,3726.4,6360.7,7854.2,6406.3,6133.5,10.56,-4.26,2.45,2420.5,2246,-7.21,2.12
THAILAND,4543.3,5872.4,6872.3,5602.8,5731.9,4.27,2.3,2.29,2255.9,3368.4,49.31,3.18
AUSTRALIA,2415.4,2995.9,3222.7,3022.2,4864.8,15.13,60.97,1.94,1896.9,1493.5,-21.27,1.41
NETHERLANDS,3057.5,4531.4,5250.9,3768.7,4621.5,6.63,22.63,1.84,1807.1,2119.4,17.28,2
PAKISTAN,2374.4,3829.5,4323.2,2872.6,3445.9,4.68,19.96,1.37,1166.8,1434.6,22.96,1.35
UNITED ARAB EMIRATES,1240.1,1866.2,2294.9,2646.5,3061.5,24.07,15.68,1.22,1149.7,1362.3,18.5,1.28
BANGLADESH,1684.1,2898.8,3673.4,3224,2984,13.32,-7.44,1.19,1127.3,1575.6,39.77,1.49
HONG KONG,2018.7,2008.7,2803.9,2640.2,2622.6,8.29,-0.67,1.05,1148.9,898.6,-21.79,0.85
SAUDI ARABIA,1338.8,1583.4,2018.4,2078.6,2575.1,17.12,23.89,1.03,915,1485.1,62.31,1.4
GERMANY,2456.3,2914.6,3206.1,2523.3,2394.1,-1.94,-5.12,0.96,941.5,1069,13.54,1.01
ITALY,1746.2,2805.7,3128,2098.3,2251.7,2.2,7.31,0.9,959.6,1175.9,22.53,1.11
MEXICO,861.5,1262.1,1589.9,2084.8,2236.1,27.24,7.26,0.89,893,945.3,5.86,0.89
SPAIN,1515.7,2353.1,2287.7,2194.3,2106.4,6.06,-4.01,0.84,928,642.2,-30.8,0.61
TURKEY,1048.1,1604.5,2050.2,1538.4,1939,12.62,26.04,0.77,754.5,843.1,11.74,0.79
UNITED KINGDOM,1283.1,1476.7,1658.4,1526.1,1801.7,7.38,18.06,0.72,675.1,645,-4.45,0.61
RUSSIAN FEDERATION,973.5,1492.9,1381.6,1144.4,1740.7,9.38,52.12,0.69,561.5,810.8,44.39,0.76
BRAZIL,1015.2,1509.8,1487.2,1277.6,1725.6,9.35,35.07,0.69,623.3,936.9,50.31,0.88
BELGIUM,1220.4,1632,2138.5,1598.8,1581.2,5.1,-1.1,0.63,586.8,778,32.59,0.73
EGYPT,1055.8,1647.8,1335.1,1312.3,1527.9,5.25,16.42,0.61,493,692.2,40.41,0.65
SWITZERLAND,2398.1,1315.7,1882.6,2266.2,1502.1,-3.84,-33.72,0.6,833.4,1356.6,62.77,1.28
CANADA,789.1,1063.3,1275.5,1300.2,1442.7,15.12,10.96,0.58,591.4,750.8,26.95,0.71
FRANCE,916.3,1005.2,1033.9,919.4,938.7,-0.41,2.1,0.37,394.1,458.5,16.33,0.43
CAMBODIA,541.2,531.2,725.6,849.3,833.2,14.25,-1.89,0.33,368.1,380.1,3.27,0.36
SOUTH AFRICA,571.7,966.1,1089.7,842.6,789.7,5.22,-6.27,0.32,264.4,394.7,49.26,0.37
POLAND,441.1,654.6,1124,772,726.8,12.34,-5.85,0.29,317.4,354.1,11.56,0.33
JORDAN,98.1,310,592.1,722.7,704.7,61.43,-2.49,0.28,323.1,248.5,-23.11,0.23
NEW ZEALAND,477,713.3,720.9,573.2,682.3,5.1,19.05,0.27,230.1,316.3,37.46,0.3
QATAR,184.3,217.2,296.8,711.4,648.6,44.81,-8.83,0.26,296.6,261.5,-11.84,0.25
MYANMAR,1031.5,1116.4,944.3,726.7,619.7,-13.48,-14.71,0.25,211.4,305.2,44.38,0.29
ESTONIA,182.2,322,309.9,394.7,524,26.07,32.76,0.21,202.5,265,30.84,0.25
NIGERIA,370.9,463.7,459.2,498,455,4.92,-8.62,0.18,205,279.1,36.12,0.26
OMAN,184.1,251.8,411,308.1,381.6,18.05,23.84,0.15,138.4,176.6,27.59,0.17
SRI LANKA,266,356.5,263.6,259.3,381.1,4.09,46.96,0.15,126.6,189.9,49.98,0.18
TIMOR-LESTE,219,246.1,292.6,335.6,376,14.93,12.02,0.15,138.3,155.3,12.32,0.15
KENYA,388.3,532.5,475.1,464.4,354.2,-3.16,-23.74,0.14,132.2,182,37.66,0.17
IRAQ,188.2,218.3,277.4,233.3,350.7,14.01,50.29,0.14,146.7,135.8,-7.42,0.13
BULGARIA,126.8,39.8,314.3,409.5,343.7,54.13,-16.06,0.14,231,59.8,-74.11,0.06
CHILE,144.8,259.4,354.4,312.6,339.9,20.85,8.71,0.14,128.5,182.5,42.08,0.17
PERU,172.7,319.9,442.2,366.5,330.9,15.45,-9.7,0.13,123.6,167.8,35.79,0.16
DJIBOUTI,195.4,311.1,290.7,481.4,328.6,15.9,-31.75,0.13,126.2,130.1,3.12,0.12
ALGERIA,154.3,243.6,301.7,296.8,309.2,17.21,4.17,0.12,124.1,178,43.41,0.17
TANZANIA,244.1,361.9,276,282.1,290.9,1.02,3.13,0.12,87.9,182.3,107.38,0.17
GREECE,209.6,228.5,326.4,251.2,249.5,4.53,-0.69,0.1,113.9,120.4,5.73,0.11
COLOMBIA,125.4,332.2,255.1,170.7,243.1,6.81,42.4,0.1,103.4,116.5,12.66,0.11
GUATEMALA,50.9,72.9,118.5,187.6,234.6,49.22,25.01,0.09,131.4,55.6,-57.65,0.05
TOGO,131.9,259.2,232.8,205.9,231.2,9.33,12.28,0.09,78.8,149.4,89.64,0.14
KUWAIT,149,128.7,171.5,254,218.3,15.54,-14.05,0.09,87.8,112.6,28.22,0.11
ARGENTINA,158.9,280.7,310.1,202.4,218,3.1,7.71,0.09,66.8,133.8,100.48,0.13
PAPUA NEW GUINEA,139,196.7,244,196.7,216,9.21,9.8,0.09,79.3,99.9,25.95,0.09
BRUNEI DARUSSALAM,129,211.4,240.1,197.2,212.6,9.74,7.8,0.08,100.7,78.9,-21.7,0.07
SWEDEN,172.3,241.1,253.4,284.5,210.5,5.82,-26.02,0.08,84.7,79.7,-5.82,0.08
IRAN,198.3,187.2,241.7,194.5,206.2,1.17,6.04,0.08,77.5,87.5,12.88,0.08
DOMINICAN REPUBLIC,60.5,59.5,107.2,148.9,187.9,37.47,26.24,0.07,102.5,62.2,-39.31,0.06
ROMANIA,109,106.1,121,135.8,184.4,13.87,35.83,0.07,85.4,97.9,14.64,0.09
ISRAEL,157.5,162.9,185.2,165.8,183.6,3.29,10.79,0.07,66.3,108.5,63.6,0.1
DENMARK,163.9,201.8,709.3,147.6,180.9,-1.15,22.54,0.07,74.4,90.4,21.46,0.09
PANAMA,75.2,91.8,170.2,179.9,179,27.21,-0.5,0.07,53.3,85.4,60.25,0.08
GHANA,135.1,208,180.4,156.5,175.7,2.43,12.27,0.07,65.2,99.8,53.18,0.09
ANGOLA,100.2,170.4,319.8,163,164.7,9.96,1.05,0.07,53.3,68.3,28.11,0.06
CÔTE D'IVOIRE,78.1,124,109,155.2,153.7,17.09,-0.99,0.06,53.3,93.9,75.98,0.09
MOROCCO,75.2,104.1,194,146.9,141.9,17.52,-3.42,0.06,55.5,57,2.77,0.05
CROATIA,47.8,42.8,120.1,137,135.9,38.44,-0.81,0.05,65.3,60,-8.17,0.06
YEMEN,129.8,129.8,120.6,173,135,3.72,-21.99,0.05,45.4,64.2,41.52,0.06
GUINEA,69,86.5,32.4,125.2,133.6,18.44,6.77,0.05,33.1,37.4,13.15,0.04
SLOVENIA,80.7,128.3,187.5,122.8,128.4,9.27,4.57,0.05,47.2,40.5,-14.12,0.04
PORTUGAL,105.8,125.1,129.7,140.8,118.1,3.44,-16.08,0.05,43.9,75.7,72.66,0.07
CONGO,63.9,69.7,71,92.8,113.6,15.46,22.39,0.05,45,81.2,80.36,0.08
TUNISIA,53.1,100.7,169.6,112.3,113.3,17.63,0.9,0.05,57.2,42.5,-25.64,0.04
COSTA RICA,17.1,36.6,82.7,124.1,109.6,63.88,-11.65,0.04,38.3,50.5,31.61,0.05
